Transaction Date,Post Date,Description,Category,Type,Amount,Memo,12,,Year
10/16/2025,10/17/2025,AMAZON MKTPL*NM98X03V2,Shopping,Sale,-26.29,,,,2025
10/16/2025,10/17/2025,BROCK &amp; COMPANY - 178,Food & Drink,Sale,-1.14,,,,2025
10/16/2025,10/17/2025,BROCK &amp; COMPANY - 178,Food & Drink,Sale,-1.14,,,,2025
10/16/2025,10/17/2025,WWW.KOHLS.COM #0873,Shopping,Sale,-10.59,,,,2025
10/16/2025,10/17/2025,AMAZON MKTPL*NM7WD8AZ2,Shopping,Sale,-20.83,,,,2025
10/15/2025,10/17/2025,BANNERS HALLMARK 1938,Shopping,Sale,-6.35,,,,2025
10/15/2025,10/17/2025,OLIVE GARDEN ZK 0021367,Food & Drink,Sale,-48.15,,,,2025
10/15/2025,10/16/2025,HARRIS TEETER #0313,Groceries,Sale,-22.03,,,,2025
10/15/2025,10/16/2025,HOMEGOODS #407,Shopping,Sale,-9.53,,,,2025
10/15/2025,10/16/2025,RITA'S # 1521,Food & Drink,Sale,-6.04,,,,2025
10/15/2025,10/16/2025,GOSSIP NAILS SPA,Personal,Sale,-40,,,,2025
10/14/2025,10/16/2025,UNITED      0162340269156,Travel,Sale,-15.04,,,,2025
10/14/2025,10/16/2025,UNITED      0162340269155,Travel,Sale,-15.04,,,,2025
10/14/2025,10/15/2025,BROCK &amp; COMPANY - 178,Food & Drink,Sale,-3.74,,,,2025
10/14/2025,10/15/2025,BROCK &amp; COMPANY - 178,Food & Drink,Sale,-1.14,,,,2025
10/14/2025,10/15/2025,BROCK &amp; COMPANY - 178,Food & Drink,Sale,-1.14,,,,2025
10/14/2025,10/15/2025,WWW.KOHLS.COM #0873,Shopping,Sale,-10.59,,,,2025
10/14/2025,10/14/2025,VZWRLSS*APOCC VISE,Bills & Utilities,Sale,-230.13,,,,2025
10/13/2025,10/15/2025,KOHL'S #0326,Shopping,Return,98.57,,,,2025
10/13/2025,10/14/2025,CAB STORE GAINESVILLE  V,Shopping,Sale,-46,,,,2025
10/13/2025,10/14/2025,WWW.KOHLS.COM #0873,Shopping,Sale,-29.67,,,,2025
10/13/2025,10/14/2025,WALGREENS #13989,Health & Wellness,Sale,-12.81,,,,2025
10/13/2025,10/14/2025,HARRIS TEETER #303,Groceries,Sale,-40,,,,2025
10/13/2025,10/14/2025,USAA INSURANCE PAYMENT,Bills & Utilities,Sale,-135.22,,,,2025
10/12/2025,10/14/2025,BRADDOCK AUTOPARK,Bills & Utilities,Sale,-4,,,,2025
10/12/2025,10/14/2025,THE NAKED OLIVE,Groceries,Sale,-26,,,,2025
10/12/2025,10/14/2025,EL CENTRO,Food & Drink,Sale,-36.75,,,,2025
10/12/2025,10/13/2025,BP#7719198MARSHALL BP,Gas,Sale,-30.57,,,,2025
10/12/2025,10/13/2025,SQ *TRUFFLE QUEEN,Food & Drink,Sale,-10.5,,,,2025
